rank,refArea,region,score,surveysXXXused,standardXXXdeviation,percentileXXX90XXXlower,percentileXXX90XXXupper,min,max,africanXXXdevelopmentXXXbankXXXcountryXXXpolicyXXXandXXXinstitutionalXXXassessmentXXXgovernanceXXXratings,bertelsmannXXXfoundationXXXsustainableXXXgovernanceXXXindicators,bertelsmannXXXfoundationXXXtransformationXXXindex,internationalXXXinstituteXXXforXXXmanagementXXXdevelopmentXXXworldXXXcompetitivenessXXXyearbook,politicalXXXriskXXXservicesXXXinternationalXXXcountryXXXriskXXXguide,worldXXXbankXXXcountryXXXperformanceXXXandXXXinstitutionalXXXassessment,worldXXXeconomicXXXforumXXXexecutiveXXXopinionXXXsurvey,worldXXXjusticeXXXprojectXXXruleXXXofXXXlawXXXindex,economistXXXintelligenceXXXunitXXXcountryXXXriskXXXassessment,globalXXXinsightXXXcountryXXXriskXXXratings,politicalXXXandXXXeconomicXXXriskXXXconsultancyXXXasianXXXintelligence,transparencyXXXinternationalXXXbribeXXXpayersXXXsurvey,freedomXXXhouseXXXnationsXXXinXXXtransit
66,Romania,EU,44,8,3.7,38,50,32,60,0,0,58,32,60,0,34,43,38,42,0,0,50
66,Saudi Arabia,ME,44,5,6.4,34,55,32,69,0,0,32,0,41,0,69,0,38,42,0,0,0
69,Brazil,AM,43,8,3.3,38,49,31,58,0,0,58,31,50,0,35,45,38,52,0,37,0
69,Macedonia,EE,43,6,4.7,35,51,21,50,0,0,49,0,0,0,50,48,21,42,0,0,50
69,South Africa,AF,43,9,2.5,39,48,32,55,55,0,45,32,41,0,43,43,54,42,0,36,0
72,Bosnia and Herzegovina,EE,42,7,2.3,38,46,35,54,0,0,40,0,0,35,54,39,38,42,0,0,44
72,Italy,EU,42,7,2.4,38,46,37,55,0,41,0,39,41,0,37,55,38,42,0,0,0
72,Sao Tome and Principe,AF,42,3,5,34,50,32,47,47,0,0,0,0,47,0,0,0,32,0,0,0
75,Bulgaria,EU,41,8,3.8,35,47,29,62,0,0,62,29,31,0,38,38,38,42,0,0,50
75,Liberia,AF,41,7,3.9,35,47,28,55,55,0,45,0,41,35,52,28,0,32,0,0,0
75,Montenegro,EE,41,4,4.5,34,49,32,53,0,0,40,0,0,0,53,0,0,32,0,0,39
75,Tunisia,ME,41,7,2.8,36,45,28,50,40,0,28,0,50,0,42,47,38,42,0,0,0
79,Sri Lanka,AP,40,7,1.3,38,42,35,44,0,0,36,0,41,35,43,44,38,42,0,0,0
80,China,AP,39,9,2.9,34,43,28,55,0,0,28,34,31,0,47,45,38,32,39,55,0
80,Serbia,EE,39,7,2.6,35,44,31,49,0,0,49,0,31,0,35,35,38,42,0,0,47
80,Trinidad and Tobago,AM,39,4,4.5,32,47,31,52,0,0,0,0,31,0,37,0,38,52,0,0,0
83,Burkina Faso,AF,38,7,4.4,31,45,23,55,55,0,23,0,31,47,26,42,0,42,0,0,0
83,El Salvador,AM,38,6,2.8,33,43,25,45,0,0,45,0,41,0,25,38,38,42,0,0,0
83,Jamaica,AM,38,6,2.2,35,42,31,47,0,0,36,0,31,0,37,47,38,42,0,0,0
83,Panama,AM,38,6,3.1,33,44,31,52,0,0,36,0,31,0,41,32,38,52,0,0,0
